x;y;life_span;mean_BC;max_BC;trend_BC;mean_DeltaBC;max_DeltaBC;BC_EuclideanNorm;BC_Deviation
3614199;8956288;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3614423;8956321;50;0.003581320541636294;0.005030448791285527;7.213011547508039e-05;0.0001857980236881231;0.001972455420856016;0.027382533007787643;0.001473161721097014
3630838;7655356;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3630872;7655381;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3630967;7655353;9;0.002941994071721627;0.0030226824631511377;8.81663550937687e-06;5.735258185919856e-05;0.00015967399405947182;0.00882756296698924;5.5683504193134666e-05
3630988;7655325;9;0.0015753633475119745;0.0016054633893994152;-7.695214284029438e-06;9.05899874282864e-06;1.7229036965760213e-05;0.00472649266253556;2.0563718981852613e-05
3631651;7655782;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3631656;7655786;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3631656;7655846;51;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3631678;7655842;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3631682;7655845;9;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3631696;7655880;60;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3631697;7655813;51;0.013086572134084231;0.02944250568606004;-0.0001774832405999162;0.0011206950997250692;0.021431610869108986;0.09939462890368121;0.004738485266474546
3631713;7655867;60;0.006150976768330277;0.013067408313223025;0.00019559498124798605;0.0005266964624048473;0.008582610796975684;0.05750438147081759;0.004156687335024095
3631930;7655405;51;0.04622033948786168;0.0592695842104885;0.0005808054959680446;0.0015192711610788573;0.012305291026939516;0.3364773313360176;0.009144467524861614
3632192;7655512;51;0.009341912395826595;0.015389743201272631;0.00022456136699675725;0.00044213003552477507;0.008415393149798738;0.07237473859430155;0.003928940132535009
3632204;7655502;51;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3632210;7655494;51;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3632211;7655537;51;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3632233;7655460;51;0.002924992006937682;0.0068882552892724725;-9.238964681379033e-05;0.00019764345547458197;0.0022178676610452685;0.023727383935259635;0.0015758860448132884
3632261;7655484;51;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3641686;6492485;46;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3647081;6841612;47;1.4671104427562142e-06;5.621988722290623e-06;-6.833911308623269e-08;1.0865890765888949e-07;8.075376660000614e-07;1.2938425961653257e-05;1.187160504274167e-06
3650151;6673630;46;0.010160242264471065;0.01566620506020903;0.00022389009247131758;0.0006901925679315169;0.011710879078477296;0.07604280670426083;0.004740905250457123
3652214;7674933;17;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3652891;7025837;47;0.0015041391162411806;0.0023023493883004074;2.335605006491942e-05;7.308453237950515e-05;0.0011672806769025671;0.011183518644973358;0.0006313893608567787
3654117;9043637;50;0.0017319938957716082;0.0031153477046755545;7.209748152751926e-05;9.142023296238836e-05;0.0030203031489456906;0.015361636146425984;0.0013114093361393739
3654334;7672402;17;0.008837520212758174;0.009558583224214616;-8.389145980883199e-05;8.22870354103911e-05;0.00020274448353213223;0.036479636110794064;0.0004224488197676392
3680004;7700208;25;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3682034;9218127;53;0.0005744028115419674;0.001558956416234309;2.6811298046116112e-05;3.888159047148526e-05;0.0010078976464121048;0.005501777546424917;0.0004911060083321668
3683788;8694986;36;0.0054915450166181405;0.007031554992850368;0.0001094057653375862;0.00035249032968778137;0.003935813738517534;0.03445238046663469;0.0016775653631427355
3685185;5422090;55;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3686979;8698176;12;0.005777821615765874;0.0062204348981788555;2.8182447991214352e-05;0.00011430711262953233;0.0007152795495763619;0.020036183134052768;0.0002661395464106737
